id,monthly_rent,sq_meters,bedrooms,bathrooms,city,neighborhood,floor,elevator,inserted_at,parking,month,price_per_square_meter
207495,1180,53.0,1,1,Berlin,Moabit,6.0,False,2023-10-25 04:24:40,False,2023-10,22.26
181614,1181,89.0,3,1,Berlin,Charlottenburg,3.0,False,2023-08-26 04:07:13,False,2023-08,13.27
182021,2084,132.0,4,1,Berlin,Charlottenburg,2.0,False,2023-08-27 04:10:14,False,2023-08,15.79
181712,1500,78.0,3,1,Berlin,Neukolln,2.0,False,2023-08-26 04:21:23,False,2023-08,19.23
182010,799,45.0,1,1,Berlin,Mitte,3.0,False,2023-08-27 04:08:48,False,2023-08,17.76
181742,1000,60.0,2,1,Berlin,Pankow,3.0,False,2023-08-26 04:26:35,False,2023-08,16.67
182443,1650,80.0,2,1,Berlin,Pankow,5.0,False,2023-08-28 04:13:11,False,2023-08,20.62
181667,2284,81.0,3,2,Berlin,Mitte,5.0,False,2023-08-26 04:13:41,False,2023-08,28.2
181720,1220,75.0,1,1,Berlin,Mitte,1.0,False,2023-08-26 04:22:44,False,2023-08,16.27
181671,1679,62.0,1,1,Berlin,Mitte,5.0,False,2023-08-26 04:14:05,False,2023-08,27.08
182046,995,33.0,1,1,Berlin,Lichtenberg,4.0,False,2023-08-27 04:15:21,False,2023-08,30.15
182470,1700,56.0,2,1,Berlin,Steglitz,1.0,False,2023-08-28 04:21:55,False,2023-08,30.36
182047,1960,61.0,3,1,Berlin,Lichtenberg,2.0,False,2023-08-27 04:15:37,False,2023-08,32.13
182408,1820,46.0,2,1,Berlin,Moabit,7.0,False,2023-08-28 04:08:17,False,2023-08,39.57
181706,2620,115.0,3,2,Berlin,Neukolln,0.0,False,2023-08-26 04:20:48,False,2023-08,22.78
207810,4850,206.0,1,1,Berlin,Prenzlauer-Berg,4.0,False,2023-10-26 04:08:42,True,2023-10,23.54
182468,1650,60.0,1,1,Berlin,Pankow,1.0,False,2023-08-28 04:20:48,True,2023-08,27.5
207823,1294,92.0,3,2,Berlin,Pankow,1.0,False,2023-10-26 04:10:20,False,2023-10,14.07
182647,2100,65.0,1,1,Berlin,Mitte,1.0,False,2023-08-29 04:06:27,False,2023-08,32.31
182676,4000,116.0,2,1,Berlin,Charlottenburg,5.0,False,2023-08-29 04:09:58,False,2023-08,34.48
182663,2136,80.0,1,1,Berlin,Friedrichshain,7.0,False,2023-08-29 04:08:17,False,2023-08,26.7
182707,1960,61.0,3,1,Berlin,Lichtenberg,2.0,False,2023-08-29 04:15:38,False,2023-08,32.13
182683,2413,97.0,4,2,Berlin,Pankow,3.0,False,2023-08-29 04:10:41,True,2023-08,24.88
207929,2192,80.0,1,1,Berlin,Friedrichshain,1.0,False,2023-10-26 04:33:40,False,2023-10,27.4
182722,1500,90.0,1,1,Berlin,Spandau,7.0,False,2023-08-29 04:17:18,False,2023-08,16.67
208559,865,51.0,1,1,Berlin,Neukolln,1.0,False,2023-10-27 04:22:12,False,2023-10,16.96
208505,1800,60.0,2,1,Berlin,Friedrichshain,2.0,False,2023-10-27 04:09:08,False,2023-10,30.0
183091,1950,148.0,1,1,Berlin,Kreuzberg,4.0,False,2023-08-30 04:05:57,False,2023-08,13.18
208547,2470,84.0,1,1,Berlin,Neukolln,5.0,False,2023-10-27 04:19:54,False,2023-10,29.4
183171,2000,86.0,1,1,Berlin,Lichtenberg,0.0,False,2023-08-30 04:18:27,True,2023-08,23.26
208662,825,24.0,1,1,Berlin,Lichtenberg,0.0,False,2023-10-27 04:48:15,False,2023-10,34.38
208544,3999,93.0,3,1,Berlin,Charlottenburg,6.0,False,2023-10-27 04:19:22,True,2023-10,43.0
208637,2917,150.0,2,2,Berlin,Mitte,2.0,False,2023-10-27 04:42:29,True,2023-10,19.45
208684,1345,54.0,1,1,Berlin,Spandau,2.0,False,2023-10-27 04:53:10,True,2023-10,24.91
183562,2690,79.0,2,1,Berlin,Charlottenburg,2.0,False,2023-08-31 04:07:34,False,2023-08,34.05
183564,2105,90.0,1,1,Berlin,Charlottenburg,4.0,False,2023-08-31 04:07:41,False,2023-08,23.39
183588,2800,139.0,3,2,Berlin,Mitte,1.0,False,2023-08-31 04:11:40,False,2023-08,20.14
209025,1500,50.0,1,1,Berlin,Charlottenburg,2.0,False,2023-10-28 04:13:31,False,2023-10,30.0
209191,1880,50.0,1,1,Berlin,Mitte,15.0,False,2023-10-28 04:47:13,False,2023-10,37.6
209886,1200,70.0,1,1,Berlin,Steglitz,1.0,False,2023-10-30 04:13:48,False,2023-10,17.14
209105,4820,226.0,3,2,Berlin,Spandau,0.0,False,2023-10-28 04:32:33,True,2023-10,21.33
183656,1327,57.0,2,1,Berlin,Lichtenberg,0.0,False,2023-08-31 04:24:34,False,2023-08,23.28
209950,2000,75.0,2,1,Berlin,Neukolln,4.0,False,2023-10-30 04:30:23,False,2023-10,26.67
183635,1480,84.0,1,1,Berlin,Pankow,1.0,False,2023-08-31 04:21:43,False,2023-08,17.62
183642,1423,56.0,1,1,Berlin,Lichtenberg,5.0,False,2023-08-31 04:22:45,False,2023-08,25.41
209104,1550,80.0,1,1,Berlin,Steglitz,5.0,False,2023-10-28 04:32:08,False,2023-10,19.38
209638,1850,80.0,2,1,Berlin,Moabit,3.0,False,2023-10-29 04:19:42,False,2023-10,23.12
209006,1490,42.0,1,1,Berlin,Kreuzberg,2.0,False,2023-10-28 04:10:14,False,2023-10,35.48
209106,893,55.0,1,1,Berlin,Spandau,3.0,False,2023-10-28 04:32:38,False,2023-10,16.24
183654,1523,65.0,2,1,Berlin,Lichtenberg,2.0,False,2023-08-31 04:24:12,False,2023-08,23.43
183747,1258,49.0,2,1,Berlin,Lichtenberg,2.0,False,2023-08-31 04:39:38,False,2023-08,25.67
209041,1600,58.0,1,1,Berlin,Mitte,5.0,False,2023-10-28 04:15:49,False,2023-10,27.59
209926,1600,60.0,2,1,Berlin,Pankow,0.0,False,2023-10-30 04:24:06,False,2023-10,26.67
209914,2000,93.0,3,1,Berlin,Kreuzberg,7.0,False,2023-10-30 04:19:19,False,2023-10,21.51
209866,4400,150.0,5,2,Berlin,Mitte,5.0,False,2023-10-30 04:09:46,False,2023-10,29.33
209045,1995,171.0,5,1,Berlin,Moabit,3.0,False,2023-10-28 04:16:47,False,2023-10,11.67
184029,1652,1.422,1,1,Berlin,Pankow,2.0,False,2023-09-01 04:18:12,True,2023-09,1161.74
184184,1883,82.0,3,2,Berlin,Lichtenberg,1.0,False,2023-09-01 04:41:20,False,2023-09,22.96
209644,2800,100.0,2,2,Berlin,Moabit,1.0,False,2023-10-29 04:20:26,False,2023-10,28.0
184159,2742,135.0,4,3,Berlin,Charlottenburg,0.0,False,2023-09-01 04:37:16,False,2023-09,20.31
184064,1755,74.0,3,1,Berlin,Lichtenberg,1.0,False,2023-09-01 04:22:57,False,2023-09,23.72
184051,1493,62.0,2,1,Berlin,Lichtenberg,4.0,False,2023-09-01 04:21:36,False,2023-09,24.08
184055,1493,62.0,2,1,Berlin,Lichtenberg,3.0,False,2023-09-01 04:21:54,False,2023-09,24.08
184693,1755,61.0,1,1,Berlin,Friedrichshain,3.0,False,2023-09-02 04:42:25,True,2023-09,28.77
184472,1350,38.0,1,1,Berlin,Moabit,3.0,False,2023-09-02 04:09:44,False,2023-09,35.53
184584,1020,59.0,1,1,Berlin,Lichtenberg,6.0,False,2023-09-02 04:26:31,True,2023-09,17.29
185012,2700,131.0,1,1,Berlin,Spandau,2.0,False,2023-09-03 04:25:55,True,2023-09,20.61
185102,1200,77.0,1,1,Berlin,Pankow,3.0,False,2023-09-04 04:14:57,False,2023-09,15.58
184580,1960,61.0,3,1,Berlin,Lichtenberg,2.0,False,2023-09-02 04:26:23,False,2023-09,32.13
185104,1000,50.0,2,1,Berlin,Pankow,2.0,False,2023-09-04 04:15:16,False,2023-09,20.0
184611,1699,68.0,1,1,Berlin,Spandau,5.0,False,2023-09-02 04:31:35,True,2023-09,24.99
184712,1700,70.0,1,1,Berlin,Charlottenburg,4.0,False,2023-09-02 04:48:24,False,2023-09,24.29
184464,1349,29.0,2,1,Berlin,Moabit,16.0,False,2023-09-02 04:08:51,False,2023-09,46.52
184593,1503,95.0,3,2,Berlin,Lichtenberg,3.0,False,2023-09-02 04:27:35,False,2023-09,15.82
184559,580,45.0,1,1,Berlin,Wedding,1.0,False,2023-09-02 04:23:09,False,2023-09,12.89
185073,3110,85.0,3,1,Berlin,Charlottenburg,4.0,False,2023-09-04 04:09:55,False,2023-09,36.59
185128,1960,61.0,3,1,Berlin,Lichtenberg,2.0,False,2023-09-04 04:17:59,False,2023-09,32.13
184692,1754,61.0,1,1,Berlin,Friedrichshain,6.0,False,2023-09-02 04:42:23,True,2023-09,28.75
184595,1835,74.0,3,1,Berlin,Lichtenberg,4.0,False,2023-09-02 04:27:58,False,2023-09,24.8
184733,1267,52.0,2,1,Berlin,Lichtenberg,2.0,False,2023-09-02 04:50:45,False,2023-09,24.37
185064,1470,62.0,2,1,Berlin,Wilmersdorf,1.0,False,2023-09-04 04:08:50,False,2023-09,23.71
185061,2300,89.0,1,2,Berlin,Charlottenburg,4.0,False,2023-09-04 04:08:37,False,2023-09,25.84
184957,1300,30.0,1,1,Berlin,Lichtenberg,2.0,False,2023-09-03 04:17:37,False,2023-09,43.33
185069,1200,31.0,1,1,Berlin,Wilmersdorf,3.0,False,2023-09-04 04:09:22,False,2023-09,38.71
185339,2180,72.0,2,2,Berlin,Kreuzberg,0.0,False,2023-09-05 04:06:38,False,2023-09,30.28
185344,2440,75.0,2,1,Berlin,Kreuzberg,3.0,False,2023-09-05 04:07:14,False,2023-09,32.53
185349,2598,113.0,3,2,Berlin,Kreuzberg,6.0,False,2023-09-05 04:07:49,False,2023-09,22.99
185355,1720,65.0,1,1,Berlin,Charlottenburg,2.0,False,2023-09-05 04:08:30,False,2023-09,26.46
185337,1600,64.0,2,2,Berlin,Pankow,1.0,False,2023-09-05 04:06:13,False,2023-09,25.0
185371,1390,87.0,3,1,Berlin,Gesundbrunnen,6.0,False,2023-09-05 04:11:25,False,2023-09,15.98
185399,1600,80.0,3,1,Berlin,Lichtenberg,1.0,False,2023-09-05 04:15:58,False,2023-09,20.0
185392,1150,64.0,2,1,Berlin,Pankow,4.0,False,2023-09-05 04:14:52,True,2023-09,17.97
185411,730,68.0,1,1,Berlin,Spandau,1.0,False,2023-09-05 04:17:56,False,2023-09,10.74
186046,2996,107.0,2,1,Berlin,Mitte,2.0,False,2023-09-06 04:06:35,False,2023-09,28.0
186058,1096,51.0,2,1,Berlin,Moabit,4.0,False,2023-09-06 04:08:27,False,2023-09,21.49
186087,1800,45.0,1,1,Berlin,Wilmersdorf,0.0,False,2023-09-06 04:12:51,False,2023-09,40.0
